Date,Total Number of Visitors
2011-04-21,6248
2011-04-20,6964
2011-04-19,7075
2011-04-18,7015
2011-04-17,4839
2011-04-16,4530
2011-04-15,6000
2011-04-14,7467
2011-04-13,8540
2011-04-12,7529
2011-04-11,7261
2011-04-10,5826
2011-04-09,4158
2011-04-08,6063
2011-04-07,6838
2011-04-06,8223
2011-04-05,8845
2011-04-04,10469
2011-04-03,5968
2011-04-02,4729
2011-04-01,8186
2011-03-31,8132
2011-03-30,6466
2011-03-29,6403
2011-03-28,6354
2011-03-27,4347
2011-03-26,4122
2011-03-25,5764
2011-03-24,6262
2011-03-23,6536
2011-03-22,6921
2011-03-21,6666
2011-03-20,4503
2011-03-19,3839
2011-03-18,5834
2011-03-17,6534
2011-03-16,7024
2011-03-15,6828
2011-03-14,7218
2011-03-13,6153
2011-03-12,4200
2011-03-11,5412
2011-03-10,6038
2011-03-09,6039
2011-03-08,6117
2011-03-07,5951
2011-03-06,3976
2011-03-05,4096
2011-03-04,5372
2011-03-03,5701
2011-03-02,6047
2011-03-01,6280
2011-02-28,6155
2011-02-27,4551
2011-02-26,3922
2011-02-25,5452
2011-02-24,5975
2011-02-23,5947
2011-02-22,6047
2011-02-21,5329
2011-02-20,4039
2011-02-19,3993
2011-02-18,5502
2011-02-17,6038
2011-02-16,6199
2011-02-15,6048
2011-02-14,5535
2011-02-13,3765
2011-02-12,3540
2011-02-11,4697
2011-02-10,5491
2011-02-09,5532
2011-02-08,5480
2011-02-07,5439
2011-02-06,3768
2011-02-05,3812
2011-02-04,4958
2011-02-03,5535
2011-02-02,5697
2011-02-01,5755
2011-01-31,5626
2011-01-30,3464
2011-01-29,3477
2011-01-28,4609
2011-01-27,5528
2011-01-26,5911
2011-01-25,5498
2011-01-24,5330
2011-01-23,3698
2011-01-22,3400
2011-01-21,4770
2011-01-20,5307
2011-01-19,5619
2011-01-18,5814
2011-01-17,4687
2011-01-16,3417
2011-01-15,3204
2011-01-14,4629
2011-01-13,5256
2011-01-12,5651
2011-01-11,5063
2011-01-10,5829
2011-01-09,3741
2011-01-08,3732
2011-01-07,5094
2011-01-06,5853
2011-01-05,5008
2011-01-04,4790
2011-01-03,4418
2011-01-02,3218
2011-01-01,3163
2010-12-31,3006
2010-12-30,3761
2010-12-29,3902
2010-12-28,4055
2010-12-27,3749
2010-12-26,3010
2010-12-25,2629
2010-12-24,2969
2010-12-23,3989
2010-12-22,4385
2010-12-21,4790
2010-12-20,4750
2010-12-19,3227
2010-12-18,3299
2010-12-17,4732
2010-12-16,5168
2010-12-15,5516
2010-12-14,5707
2010-12-13,5384
2010-12-12,4900
2010-12-11,3459
2010-12-10,4868
2010-12-09,5826
2010-12-08,5753
2010-12-07,5997
2010-12-06,5941
2010-12-05,4222
2010-12-04,4046
2010-12-03,5056
2010-12-02,5763
2010-12-01,5783
2010-11-30,5768
2010-11-29,6091
2010-11-28,3752
2010-11-27,3371
2010-11-26,3887
2010-11-25,4290
2010-11-24,5404
2010-11-23,6124
2010-11-22,6484
2010-11-21,4437
2010-11-20,4245
2010-11-19,6352
2010-11-18,6518
2010-11-17,7301
2010-11-16,7427
2010-11-15,7021
2010-11-14,4329
2010-11-13,3983
2010-11-12,5983
2010-11-11,6388
2010-11-10,6148
2010-11-09,7105
2010-11-08,6211
2010-11-07,4556
2010-11-06,3937
2010-11-05,5658
2010-11-04,5879
2010-11-03,5874
2010-11-02,6494
2010-11-01,5759
2010-10-31,4096
2010-10-30,3717
2010-10-29,5405
2010-10-28,6157
2010-10-27,6687
2010-10-26,5932
2010-10-25,6656
2010-10-24,4791
2010-10-23,4937
2010-10-22,5183
2010-10-21,5547
2010-10-20,5862
2010-10-19,5726
2010-10-18,6307
2010-10-17,4617
2010-10-16,3889
2010-10-15,5194
2010-10-14,6687
2010-10-13,7244
2010-10-12,6270
2010-10-11,5053
2010-10-10,4093
2010-10-09,3472
2010-10-08,4559
2010-10-07,5315
2010-10-06,5607
2010-10-05,5674
2010-10-04,5514
2010-10-03,4123
2010-10-02,3884
2010-10-01,4863
2010-09-30,5906
2010-09-29,5870
2010-09-28,5864
2010-09-27,5630
2010-09-26,3773
2010-09-25,3608
2010-09-24,5056
2010-09-23,5494
2010-09-22,5683
2010-09-21,5538
2010-09-20,5491
2010-09-19,4753
2010-09-18,3720
2010-09-17,5148
2010-09-16,5399
2010-09-15,5788
2010-09-14,5285
2010-09-13,5403
2010-09-12,5957
2010-09-11,3519
2010-09-10,4890
2010-09-09,4962
2010-09-08,5506
2010-09-07,5258
2010-09-06,4073
2010-09-05,3401
2010-09-04,3343
2010-09-03,4505
2010-09-02,4985
2010-09-01,4806
2010-08-31,5147
2010-08-30,5095
2010-08-29,4038
2010-08-28,3778
2010-08-27,5160
2010-08-26,5188
2010-08-25,4991
2010-08-24,4954
2010-08-23,4980
2010-08-22,3616
